Timestamp,Room,Type,locked,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data0,Mat1,Mat2,Mat3,Mat4,Mat5,Mat6,Mat7,Mat8,Mat9,Mat10,Mat0
4/4/2021 10:23:34,DORM - Dorms,Small locker,No,,,,,,,,,,,,Graphien,Circuit Switch,Ion Bettery,,,,,,,,
4/4/2021 10:49:58,SEC - Security,Data port,,Settlement Assault Plans,,,,,,,,,,,Aerogel,,,,,,,,,,
4/4/2021 10:58:21,SEC - Security,Small locker,No,,,,,,,,,,,,Optical Lens,Graphien,Epoxy Adhesive,,,,,,,,
4/4/2021 13:30:46,SEC - Security,Small locker,No,,,,,,,,,,,,Micro Thrusters,Ion Bettery,,,,,,,,,
4/4/2021 13:31:56,SEC - Security,Small locker,Yes,,,,,,,,,,,,Personal Documents,Surveillance Equipment,,,,,,,,,
4/4/2021 13:32:58,SEC - Security,Small locker,Yes,,,,,,,,,,,,G-Meds,G-Meds,Insight,Personal Computer,,,,,,,
4/4/2021 13:35:14,OPR - Operations,Small locker,No,,,,,,,,,,,,Optical Fiber,Micro Transformer,Electrical Fuse,Memory Chip,,,,,,,
4/4/2021 13:47:59,PROC - Production,Small locker,Yes,,,,,,,,,,,,Inertia Canister,,,,,,,,,,
4/4/2021 13:50:58,PROC - Production,Small locker,No,,,,,,,,,,,,Chemical Superbase,,,,,,,,,,Tungsten Carbide
4/4/2021 13:52:05,Lab - Laboratory,Small locker,No,,,,,,,,,,,,Scrambler,,,,,,,,,,
4/4/2021 13:53:06,Lab - Laboratory,Small locker,Yes,,,,,,,,,,,,Insight,Insight Data Bank,Deep Mantle Sample,Personal Computer,,,,,,,
4/4/2021 13:54:51,Lab - Laboratory,Small locker,Yes,,,,,,,,,,,,Compression-Liquified Gas,Insight Data Bank,,,,,,,,,
4/4/2021 13:56:51,Lab - Laboratory,Large Locker,No,,,,,,,,,,,,Graphien,Graphien,Graphien,Ion Bettery,Ion Bettery,Circuit Switch,Circuit Switch,Metal Coil,Optical Lens,Encrypted Memory Chip,
4/4/2021 13:58:40,Lab - Laboratory,Small locker,No,,,,,,,,,,,,Micro Supercapacitor,Chemical Superbase,Electromagnet,,,,,,,,
4/4/2021 14:02:25,Lab - Laboratory,Large Locker,No,,,,,,,,,,,,Optical Lens,Optical Lens,Ion Bettery,Epoxy Adhesive,,Metal Coil,Graphien,Memory Chip,,,
4/4/2021 14:04:14,Lab - Laboratory,Small locker,Yes,,,,,,,,,,,,Deep Mantle Sample,Ionised Gas,,,,,,,,,
4/4/2021 14:04:28,PROC - Production,Small locker,No,,,,,,,,,,,,RDX,,,,,,,,,,
4/4/2021 14:04:54,PROC - Production,Small locker,No,,,,,,,,,,,,Micro Transformer,,,,,,,,,,
4/4/2021 14:07:35,PROC - Production,Large Locker,No,,,,,,,,,,,,Weapon Component,Circuit Board,Metal Coil,Motor,Micro Transformer,Metal Coil,Micro Hydraulics,,,,Tungsten Carbide
4/4/2021 14:08:27,PROC - Production,Small locker,Yes,,,,,,,,,,,,Compression-Liquified Gas,,,,,,,,,,
4/4/2021 14:20:31,SEC - Security,Small locker,No,,,,,,,,,,,,Transmitter,Scrambler,RDX,,,,,,,,
4/4/2021 14:21:09,SEC - Security,Small locker,No,,,,,,,,,,,,Graphien,Graphien,Encrypted Memory Chip,Weapon Component,,,,,,,
4/4/2021 14:21:50,SEC - Security,Small locker,Yes,,,,,,,,,,,,G-Meds,,,,,,,,,,
4/4/2021 14:22:14,SEC - Security,Small locker,Yes,,,,,,,,,,,,Insight Data Bank,Insight Data Bank,,,,,,,,,
4/4/2021 14:26:31,SEC - Security,Small locker,No,,,,,,,,,,,,Epoxy Adhesive,Memory Chip,Optical Lens,,,,,,,,
4/4/2021 14:27:13,SEC - Security,Small locker,Yes,,,,,,,,,,,,Infinity,Infinity,Universal Translator,Insight Data Bank,,,,,,,
4/4/2021 14:28:06,OPR - Operations,Small locker,No,,,,,,,,,,,,Electromagnet,Electrical Wiring,,,,,,,,,
