SystemName,Planet,Material
Oochost AH-J d10-1,D7E,Tellurium
Oochost AH-J d10-1,D7F,Polonium
Oochost BH-J d10-0,B 1 e,Antimony
Oochost BH-J d10-0,B 2 c,Tellurium
Outotz LZ-O c19-4,C 4 b,Tellurium
Byua Chraei YP-E d12-16,C 5 C,Ruthenium
Qaugneau FR-M d7-23,B 5 a,Antimony
Qaugneau FR-M d7-23,B 5 b,Antimony
Truechiae TG-J d10-2,B 11 b,Antimony
Outotz HD-J d9-3,B 8 d,Antimony
Outotz HD-J d9-3,B 11 d,Antimony
Outotz KY-I d9-6,B 6 b,Tellurium
Outotz CI-R c18-0,B 6 b,Ruthenium
Col 69 Sector PH-U c3-0,B 10 b,Ruthenium
Oochorrs MU-M d8-14,B 9 b,Antimony
Col 69 Sector BA-Z c0,B 4 a,Tellurium
Outotz PI-K d8-0,BC 2 a,Yttrium
Outotz LS-K d8-3,B 7 b,Ruthenium
Outotz LS-K d8-3,B 5 a,Yttrium
Outotz LS-K d8-3,B 5 c,Antimony
Col 69 Sector GQ-Y D4,B 7 f,Ruthenium
Outotz IT-Z c13-2,B 9 b,Technetium
HD 69978,B 2 b a,Yttrium
Trifid of the North Sector DL-Y e0,D 9 a,Ruthenium
Oochoxt CD-E c1-0,B 1 c,Polonium
Oochoxt CD-E c1-0,B 3 b,Ruthenium
NGC 2244 Sector CQ-O d6-29,B 4 a,Ruthenium
Pheia Ain IK-A d38,B 16 a,Tellurium
Pheia Ain IK-A d38,B 16 b,Antimony
Col 107 Sector XF-N d7-65,B 4 a,Polonium
Gludgae GQ-V c16-6,B 3 d,Technetium
Pyria Thua PW-N d6-2,B 3 b,Technetium
Blau Broae BC-D d12-59,B 4 a,Ruthenium
Slaiya GU-E c25-0,B 4 f,Antimony
Dryu Airg DS-J d9-0,B 5 a,Technetium
Dryu Airg IE-G d11-3,D 12 a,Ruthenium
Schafaae VN-S d4-2,B 9 a,Antimony or Yttrium
Schee Phio NU-R C7-16,BC 1 b,Technetium
Schee Phio NU-R C7-16,BC 2 c,Antimony
Flyue Flyiae UI-K c11-45,B 1 a,Tellurium
Flyue Flyiae TI-K c11-62,C 2 a,Antimony
Flyue Flyiae TI-K c11-47,BC 4 a,Antimony
Flyue Flyiae SN-K c11-40,B 5 b,Yttrium
HIP 36601,C 1 a,Polonium
HIP 36601,C 1 d,Ruthenium
HIP 36601,C 3 b,Tellurium
HIP 36601,C 5 a,Technetium
Freetua ZL-J d10-49,B 7 a,Antimony
